City_ID,Unnamed: 0,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
28,139,Fortuna,US,72.93,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
29,146,Kuppam,IN,71.8,overcast clouds,12.75,78.3667,Manjunatha Residency Hotel
30,147,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
31,148,Castro,BR,66.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
32,152,Margate,GB,70.88,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
33,154,Ambilobe,MG,66.9,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
34,156,Northam,GB,65.61,clear sky,51.0333,-4.2167,Durrant House Hotel
35,157,Torbay,CA,66.27,broken clouds,47.6666,-52.7314,Gallows Cove
36,161,Tomiya,JP,68.76,overcast clouds,38.3931,140.8861,Hotel Route Inn Sendai Izumi Inter
37,165,Imbituba,BR,67.08,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
38,168,Ayame,CI,73.51,overcast clouds,5.6083,-3.1563,Hotel Bossan
39,173,Isiro,CD,70.48,overcast clouds,2.7739,27.616,Guest House Hewa Bora
40,175,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,179,Grand Gaube,MU,68.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
42,185,Fort Saint James,CA,68.16,broken clouds,54.4333,-124.25,The View Hotel
43,186,Kuala Terengganu,MY,73.35,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
44,189,Tibati,CM,67.73,overcast clouds,6.4667,12.6333,Tibati Hotel
45,191,Touba,CI,72.23,moderate rain,8.2833,-7.6833,Hotel de L'Amitié Vraie
46,192,Antalaha,MG,67.8,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
47,195,Fort Nelson,CA,69.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
49,200,Kutoarjo,ID,70.88,clear sky,-7.7169,109.9128,Massagus Hotel
50,202,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
51,231,San Cristobal,VE,71.78,overcast clouds,7.7669,-72.225,Pirineos
52,233,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
53,234,Marinette,US,71.65,clear sky,45.1,-87.6307,AmericInn by Wyndham Menominee
56,240,Paita,PE,69.82,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
57,242,Aklavik,CA,69.8,broken clouds,68.2191,-135.0107,Aklavik Inn
58,255,Pyu,MM,74.41,overcast clouds,18.4833,96.4333,Mr Bo Bo
59,256,Flin Flon,CA,69.64,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
60,262,Banjar,ID,71.51,few clouds,-8.19,114.9675,The Hamsa Resort
61,268,Shingu,JP,73.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
62,270,Esfarayen,IR,73.06,clear sky,37.0765,57.5101,دفتر ازدواج 65 : سردفتر ابراهیم برغمدی
63,271,Angoche,MZ,71.89,clear sky,-16.2325,39.9086,Guest House HESADA
64,279,Takestan,IR,73.53,clear sky,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
65,291,Peace River,CA,73.71,broken clouds,56.2501,-117.286,BCMInns - Peace River
66,293,Pangody,RU,67.48,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
67,295,Martapura,ID,73.49,broken clouds,-3.4167,114.85,Montana Hotel Syariah
68,309,Mae Hong Son,TH,73.49,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
69,343,Bidar,IN,71.58,moderate rain,17.9,77.55,Kaveri Hotel
72,351,Desna,UA,68.86,broken clouds,50.9273,30.7605,Log cabin
73,355,Dondo,MZ,67.51,clear sky,-19.6094,34.7431,Pensao Casual
74,356,Namibe,AO,65.5,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
75,363,Los Llanos De Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
76,367,Arnsberg,DE,68.25,overcast clouds,51.3297,8.0071,Sunderland Hotel
77,368,Chimbote,PE,67.1,clear sky,-9.0853,-78.5783,Hotel Briliá
